adsh,name,sic,countryba,cityba,fye,form,period,fy,fp,custom,abstract,datatype,qtrs,uom,iprx,value,instance,Ticker,Name,S&P Rating,Mkt cap,sales 1,country,industry,foreign scr,sales 2,ebitda,fcf,net income,ltm sales gr,ltm ebitda gr,ltm ni gr,sales gr,sales 3yr avg growth,ebitda gr,ni growth,ni 5yr gr,tang assets,tang eq,ebitda/int,debt/t. bv,cfo,cash,debt,cash int,interest,ebit,ret on cap,capex,cfo/debt,debt/ebitda,cfo/interest,ebitda/int.1,ebit/int,ebit/sales,debt/t asts,cfo/capex
0001552275-17-000041,SUNOCO LP,5172.0,US,DALLAS,1231.0,8-K,20161231,2016,FY,0,0,monetary,0,USD,,1500000000.0,sun-20170929.xml,SUN US,SUNOCO LP,BB-,2223984640.0,11078000128.0,US,Oil Refining&Marketing,0,11723,398,200,149,15.64881512,30.3514377,64.23982869,17.39435209,16.80272428,23.98753894,97.82447466,111.8705032,6146,49,1.90430622,-1.982668977,303,28,2203000000,1.442857143,210,229,9.126381354,-103,0.137539719,5.535175879,1.442857143,1.90430622,1.09047619,0.019534249,0.358444517,2.941747573
0001564590-17-019525,KMG CHEMICALS INC,2800.0,US,FORT WORTH,731.0,10-K,20170731,2017,FY,0,0,monetary,0,USD,,331900000.0,kmg-20170731.xml,KMG US,KMG CHEMICALS INC,B+,1023663232.0,402391000.0,US,Chemicals-Specialty,45.9951056,333.442,54.297,31.849,23.633,31.48528763,85.44392473,90.71329423,11.90154978,-1.478894998,28.95618098,30.81180082,11.92246634,247.639,-371.076,12.60083546,-2.193323355,44.923,20.708,,9.325929001,4.817,37.333,12.6005339,-13.074,#VALUE!,#VALUE!,9.325929001,12.60083546,7.750259498,0.1119625,#VALUE!,3.436056295
0000029905-17-000054,DOVER CORP,3530.0,US,DOWNERS GROVE,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,10669106014.0,dov-20170930.xml,DOV US,DOVER CORP,BBB+,12002996224.0,7938642944.0,US,Diversified Manufact Op,37.64640452,7830.436,1308.685,624.824,811.665,13.64555223,19.68375122,32.49837139,15.24936484,0.882752515,21.71719286,36.04816922,-4.800548871,4455.814,-1818.659,9.290480822,-1.872317134,821.559,753.964,3245530000,5.65780811,145.208,914.445,10.03097122,-196.735,0.253135543,2.479993276,5.65780811,9.290480822,6.29748361,0.116780854,0.728380942,4.175967672
0001193125-17-313834,JABIL INC,3672.0,US,ST PETERSBURG,831.0,10-K,20170831,2017,FY,0,0,monetary,0,USD,,4500000000.0,jbl-20170831.xml,JBL US,JABIL INC,BBB-,4818649600.0,20399219200.0,US,Electronic Compo-Misc,91.36713763,19063.121,1170.635,540.158,129.09,11.51958911,4.276685369,-20.04935185,3.86874992,6.654225966,-4.013660384,13.6949363,-2.215697186,10203.215,1475.564,8.961113025,1.630596177,1256.643,1189.919,2195867000,9.101228327,138.074,410.23,4.807920725,-716.485,0.572276463,1.875791344,9.101228327,8.961113025,2.971087967,0.021519561,0.215213244,1.753899942
0001193125-17-319357,AUTOZONE INC,5531.0,US,MEMPHIS,831.0,10-K,20170831,2017,FY,0,0,monetary,0,USD,,20972678680.0,azo-20170826.xml,AZO US,AUTOZONE INC,BBB,17429882880.0,11133768960.0,US,Retail-Auto Parts,,10888.676,2403.12,1016.78,1280.869,3.57471344,-5.980791868,5.244286769,2.378786266,4.764749384,1.922476622,2.933901769,6.603023711,8815.395,-1872.763,17.7573505,-3.065557479,1570.612,293.27,5006100000,9.857665585,158.082,2080.069,38.22973062,-553.832,0.313739638,2.083166883,9.935425918,17.7573505,13.15816475,0.19103048,0.56788153,2.835899695
0000022444-17-000027,COMMERCIAL METALS CO,3312.0,US,IRVING,831.0,10-K,20170831,2017,FY,0,0,monetary,0,USD,,2420166134.0,cmc-20170831.xml,CMC US,COMMERCIAL METALS CO,BB+,2769495040.0,4936384128.0,US,Steel-Producers,28.47486966,4569.675,214.122,-38.648,46.332,17.91406749,-5.768600856,1.6145796,9.387320414,-10.8877214,-16.93324695,-33.36258839,-22.0020362,2910.216,1336.015,3.259086758,0.590425467,174.472,252.595,1373983000,3.961041615,44.047,89.051,3.407796118,-213.12,0.126982648,6.41682312,3.961041615,3.259086758,2.021726792,0.019487381,0.472124062,0.818656156
0001144215-17-000106,ACUITY BRANDS INC,3640.0,US,ATLANTA,831.0,10-K,20170831,2017,FY,0,0,monetary,0,USD,,9261770061.0,ayi-20170831.xml,AYI US,ACUITY BRANDS INC,BBB,4797752320.0,3524099968.0,US,Lighting Products&Sys,10.89840518,3505.1,593.4,248.9,321.7,2.656645984,1.448756931,11.50702844,6.495913469,13.72653646,10.33841577,6.737508651,21.57834967,1549.9,315.9,17.66071429,1.291244573,316.2,311.1,357600000,9.272727273,34.1,518.8,17.17558268,-67.3,0.884228188,0.602628918,9.272727273,17.66071429,15.21407625,0.148012895,0.230724563,4.698365527
0000103730-17-000044,VISHAY INTERTECHNOLOGY INC,3670.0,US,MALVERN,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,2237000000.0,vsh-20170930.xml,VSH US,VISHAY INTERTECHNOLOGY INC,BB+,3086204160.0,2714059072.0,US,Electronic Compo-Misc,77.31388481,2603.522,474.734,198.345,-20.344,15.11830121,78.44088725,-90.7769101,12.05505995,1.77327707,81.83468669,147.9991159,14.47123354,3246.693,1217.693,22.37622549,0.314393986,368.777,748.032,,13.24154399,27.85,311.588,1.119908624,-170.432,#VALUE!,#VALUE!,13.24154399,22.37622549,11.18807899,0.119679419,#VALUE!,2.163777929
0000723125-17-000131,MICRON TECHNOLOGY INC,3674.0,US,BOISE,831.0,10-K,20170831,2017,FY,0,0,monetary,0,USD,,20500000000.0,mu-20170831.xml,MU US,MICRON TECHNOLOGY INC,BB+,65526697984.0,25857999872.0,US,Electronic Compo-Semicon,86.40389725,20322,9729,3419,5089,75.51075816,236.9740571,1351.669086,63.90031454,13.15345745,209.0533672,,,33721,17876,20.78846154,0.385995442,8153,5109,7279912625,13.40953947,601,5868,33.80201366,-4734,1.119931024,0.748269362,13.56572379,20.78846154,9.763727121,0.288751107,0.215886617,1.722222222
0000354908-17-000068,FLIR SYSTEMS INC,3812.0,US,WILSONVILLE,1231.0,10-Q,20170930,2017,Q3,0,0,monetary,0,USD,,4212638793.0,flir-20170930.xml,FLIR US,FLIR SYSTEMS INC,BBB,7511111168.0,1833237984.0,US,Electronic Measur Instr,46.87736401,1800.434,360.971,266.143,107.223,8.507146159,-0.346616094,-50.09083394,8.318478228,5.597983532,2.191200659,13.98465182,1.329819161,1732.085,756.617,23.44881123,0.597589486,308.252,519.09,425000000,18.34396572,16.804,289.961,4.802203833,-42.109,0.725298824,1.1773799,18.34396572,23.44881123,17.25547489,0.161050613,0.245369021,7.32033532
